,岗位名称,薪资待遇,岗位地区,公司福利,公司名称,岗位需要技能,salary1,学历要求,工作经验要求,福利数量,需求技能数量,公司类型,融资情况,公司人数
194,java开发工程师,20,广州,餐补，年终奖，节日福利，零食下午茶，绩效奖金，股票期权，五险一金，员工旅游，团建聚餐，带薪年假,广州乐药,Java，Spring，JavaScript,13,本科,1-3年,10,3,电子商务,D轮及以上,10000人以上
195,高级java开发工程师,25.5,上海,年终奖，带薪年假，补充医疗保险，节日福利，五险一金，交通补助，定期体检，餐补，免费班车,Cognizant,后端工程师，Java，Spring，MySQL,13,本科,5-10年,9,4,计算机软件,已上市,1000-9999人
196,高级Java开发工程师,12.5,上海,带薪年假，年终奖，五险一金，绩效奖金,优方科技,Java，Eclipse，SpringCloud，Redis，Spring，后端工程师,12,本科,3-5年,4,6,计算机软件,未融资,20-99人
197,Java开发工程师(高级),10,连云港,节日福利，员工旅游，带薪年假，年终奖，定期体检，五险一金,迅成信息,高级软件工程师，企业级应用开发,12,本科,5-10年,6,2,计算机软件,未融资,0-20人
198,MES设计开发工程师,15.5,无锡,节日福利，股票期权，带薪年假，五险一金，员工旅游，零食下午茶，餐补，年终奖，定期体检，加班补助,苏州珂阳,智能制造，FAB制造，半导体，泛半导体，面板，MES设计,13,本科,1-3年,10,6,电子/半导体/集成电路,A轮,100-499人
199,高级Java开发工程师,17.5,深圳,带薪年假，项目奖金，加班补助，交通补助，包吃，五险一金，节日福利,航天广通,服务器配置，消息队列，PostgreSQL，MySQL,12,大专,5-10年,7,4,计算机软件,未融资,100-499人
200,Java后端开发工程师,17.5,长沙,股票期权，员工旅游，交通补助，年终奖，带薪年假，五险一金,展视网,SQL，CSS，微服务架构，Spring，MySQL，分布式技术,12,本科,5-10年,6,6,音乐/视频/阅读,A轮,100-499人
201,Java开发工程师（上海2）,32.5,上海,五险一金，年终奖，节日福利，生日福利，员工旅游，零食下午茶，加班补助，团建聚餐，定期体检，带薪年假，股票期权,晟合坤,容器技术，后端开发，Spring，Oracle,13,本科,3-5年,11,4,互联网金融,B轮,100-499人
202,Java中高级开发工程师,21.5,武汉,节日福利，年终奖，交通补助，餐补，定期体检，五险一金，加班补助，带薪年假，通讯补贴,上海电气数智,SQL，微服务架构，搜索引擎技术，分布式技术，多线程,12,本科,3-5年,9,5,环保,未融资,20-99人
203,JAVA高级开发工程师,50,北京,五险一金，通讯补贴，带薪年假，定期体检，企业年金，节日福利，底薪加提成，绩效奖金，交通补助，生日福利，年终奖，免费工装，餐补,银河证券,Java，MySQL，Redis,12,硕士,5-10年,13,3,互联网金融,已上市,1000-9999人
204,Java资深开发工程师,35,北京,带薪年假，股票期权，年终奖，五险一金,新橙智慧,MVC开发，服务器配置，容器技术，分布式技术，多线程,12,本科,5-10年,4,5,计算机服务,未融资,20-99人
205,java开发工程师,10.5,厦门,零食下午茶，带薪年假，节假日加班费，年终奖，五险一金,星知付,后端工程师，Java，Java开发经验，计算机/软件工程相关经验,12,本科,3-5年,5,4,计算机软件,未融资,0-20人
206,Java开发工程师,8.5,襄阳,,湖北诚佰网络科技,全栈工程师，Java，MySQL，SpringMVC，SQL Server,14,大专,3-5年,0,5,计算机软件,未知,20-99人
207,开发工程师,17.5,昆明,补充医疗保险，年终奖，餐补，节日福利，婚丧补贴，员工旅游，加班补助，带薪年假，通讯补贴，定期体检，零食下午茶，五险一金，生日福利，工龄奖,银星科技,HTML，CSS，微服务架构，消息队列，Spring，Redis,13,大专,3-5年,14,6,通信/网络设备,未融资,20-99人
208,Java开发工程师【深圳】,12.5,深圳,五险一金，股票期权，员工旅游，年终奖，加班补助,浩丰源,SpringBoot，Spring，Redis，SpringCloud，MySQL,13,本科,3-5年,5,5,计算机软件,天使轮,20-99人
209,后端开发工程师,15,杭州,年终奖，定期体检，生日福利，有无线网，通讯补贴，交通补助，团建聚餐，节日福利，餐补，五险一金，带薪年假，零食下午茶，员工旅游，加班补助，股票期权，全勤奖，节假日加班费,浙大网新,Java，Spring，MySQL,13,本科,1-3年,17,3,计算机软件,已上市,1000-9999人
210,Java开发工程师（运维方向）,10.5,武汉,带薪年假，餐补，年终奖，交通补助，补充医疗保险，五险一金，定期体检，通讯补贴,智行国际,SQL，HTML，CSS，容器技术，Struts，SpringCloud,12,本科,1-3年,8,6,计算机软件,未融资,100-499人
211,开发工程师,7.5,西安,,慧谷通用,SQL，网络协议，Spring，Hibernate，Struts，Oracle,12,本科,1-3年,0,6,计算机软件,未知,100-499人
212,后端开发工程师,14,成都,年终奖，定期体检，节日福利，通讯补贴，餐补，带薪年假，零食下午茶，五险一金，交通补助,蜀天梦图,容器技术，分布式技术，Linux，Spring，SpringBoot,14,本科,1-3年,9,5,数据服务,未融资,20-99人
213,Java开发工程师,20,上海,,二三四五金融科技,Java,12,本科,3-5年,0,1,互联网金融,未知,500-999人
214,java初级开发工程师,5,青岛,五险一金，带薪年假，免费班车，加班补助，年终奖，定期体检，节日福利,正维科技,后端工程师，Java，Spring，MySQL，Java开发经验,12,学历不限,经验不限,7,5,互联网,不需要融资,20-99人
215,Java开发工程师,13.5,广州,员工旅游，意外险，团建聚餐，年终奖，生日福利，带薪年假，节日福利，餐补，五险一金，绩效奖金,煜晨科技,后端工程师，Java，计算机/软件工程相关经验，Java开发经验,12,大专,3-5年,10,4,计算机软件,不需要融资,100-499人
216,Java开发工程师,12.5,上海,,上海澜赢,Java，Web前端,12,大专,3-5年,0,2,互联网,A轮,20-99人
217,Java开发工程师,6.5,厦门,五险一金，定期体检，节日福利，年终奖，带薪年假,理想云,Java EE技术，SSM框架,12,本科,1-3年,5,2,通信/网络设备,未融资,20-99人
218,Java开发工程师,12.5,长沙,,闽辉石业,Spring，Hibernate，Dubbo，Struts，Oracle，全栈开发,12,本科,1-3年,0,6,其他行业,未知,100-499人
219,Java开发工程师,17,佛山,带薪年假，零食下午茶，定期体检，免费班车，餐补，补充医疗保险，五险一金，年终奖，节日福利，员工旅游，交通补助,美云智数,MVC开发，分布式技术,12,本科,5-10年,11,2,互联网,不需要融资,1000-9999人
220,Java开发工程师,12.5,广州,五险一金，生日福利，团建聚餐，年终奖，员工旅游，带薪年假，定期体检，节日福利,数鹏通科技,后端工程师，Java，JavaScript，MySQL，Java开发经验,14,本科,1-3年,8,5,计算机软件,未融资,100-499人
221,Java开发工程师,20,成都,餐补，股票期权，年终奖，带薪年假，住房补贴，员工旅游，五险一金，补充医疗保险，定期体检，节日福利，加班补助,SAP Labs,Spring，Framework，GIT，Maven,13,本科,1-3年,11,4,互联网,已上市,10000人以上
222,Java开发工程师,14,广州,零食下午茶，年终奖，节日福利,猜猜看,IM通讯，Java,12,大专,3-5年,3,2,社交网络,天使轮,20-99人
223,java开发工程师,17.5,北京,股票期权，年终奖，五险一金，带薪年假，定期体检，补充医疗保险，零食下午茶,Everbridge,后端工程师，Java，Spring，MongoDB,13,本科,1-3年,7,4,互联网,已上市,1000-9999人
224,Java开发工程师,18,武汉,餐补，零食下午茶，带薪年假，五险一金，补充医疗保险，交通补助，节日福利，年终奖，通讯补贴，上下班免打卡，加班补助，员工旅游，股票期权，定期体检，年度体检，节假日礼金,联易融,分布式技术，服务器配置，数据结构，Spring，Dubbo，Redis,15,本科,经验不限,16,6,互联网金融,已上市,1000-9999人
225,中级java开发工程师,9,合肥,五险一金，零食下午茶,医卫康,Java,12,本科,3-5年,2,1,医疗健康,未融资,20-99人
226,Java（高级）开发工程师,17.5,珠海,通讯补贴，零食下午茶，五险一金，意外险，员工旅游，包吃，年终奖，节日福利，餐补，定期体检，带薪年假，职业双通道,远光软件,Java，SQL，Spring，Hibernate，JQuery，服务器配置,14,本科,5-10年,12,6,计算机软件,已上市,1000-9999人
227,java开发工程师(广州）,14.5,广州,五险一金，年终奖，零食下午茶，加班补助，电脑补贴，交通补助，带薪年假，定期体检，员工旅游，节日福利，通讯补贴，补充医疗保险,易联众,后端工程师，Spring，Java，Java开发经验,13,本科,3-5年,12,4,计算机软件,已上市,1000-9999人
228,应用开发工程师,10.5,厦门,交通补助，生日福利，定期体检，团建聚餐，绩效奖金，底薪加提成，五险一金，有无线网，带薪年假，高温补贴，节日福利，零食下午茶，员工旅游，补充医疗保险，年终奖,鲲鹭物联,Java，JavaScript，计算机/软件工程相关经验,13,本科,1-3年,15,3,互联网,未融资,20-99人
229,Java高级开发工程师,26.5,杭州,员工旅游，股票期权，节日福利，年终奖，补充医疗保险，带薪年假，五险一金，免费停车，父母礼物，加班补助，股票期权,微盛,分布式技术，搜索引擎技术，Spring，SpringBoot，Hibernate,14,本科,5-10年,11,5,互联网,B轮,1000-9999人
230,小程序开发工程师,8.5,贵阳,,信达科瑞,JavaScript，HTML，CSS，移动端，小程序，架构师,15,本科,1-3年,0,6,计算机软件,未融资,20-99人
231,资深Java开发工程师,40,杭州,补充医疗保险，年终奖，五险一金，包吃，免费班车，全勤奖，定期体检，带薪年假，节日福利,网易,分布式技术，SQL，多线程，服务器配置，微服务架构,16,本科,3-5年,9,5,移动互联网,已上市,10000人以上
232,后端开发工程师,12.5,厦门,补充医疗保险,琴曦科技,SQL，负载均衡技术，Linux，SpringBoot，Spring，MySQL,12,学历不限,3-5年,1,6,电子商务,未融资,100-499人
233,java开发工程师(应届-双休),3.5,广州,员工旅游，带薪年假，通讯补贴，交通补助，五险一金，零食下午茶，股票期权，补充医疗保险，节日福利，年终奖,青蓝智慧,全栈工程师，后端工程师，Java，Spring，JavaScript,12,本科,经验不限,10,5,计算机软件,未融资,20-99人
234,Java开发工程师(基础架构/中间件）,41.5,北京,节日福利，加班补助，补充医疗保险，餐补，定期体检，带薪年假，交通补助，股票期权，员工旅游，住房补贴，年终奖,BOSS直聘,Java，Spring，MyBatis，基础架构，中间件,16,本科,3-5年,11,5,人力资源服务,已上市,1000-9999人
235,虚拟人中台Java开发工程师,35,杭州,五险一金，定期体检，年终奖，免费班车，带薪年假，零食下午茶，节日福利，交通补助，股票期权，包吃,同花顺,机器学习工程经验，Java，MySQL，Redis，后端工程师,14,本科,3-5年,10,5,互联网,已上市,1000-9999人
236,java后端开发工程师,8.5,桂林,意外险，生日福利，五险一金，餐补，团建聚餐，年终奖,筑和教育,后端工程师，Java，Spring，MyBatis,12,本科,3-5年,6,4,培训机构,天使轮,0-20人
237,Java开发工程师（双休）-年薪60万,30,深圳,,系本尔科技,Shell，SQL，Linux，Spring，Hibernate，SVN，GIT,14,本科,3-5年,0,7,计算机硬件,未知,100-499人
238,后端开发工程师技术栈,11.5,上海,年终奖，带薪年假，员工旅游，定期体检，五险一金，节日福利，零食下午茶，加班补助，补充医疗保险，全勤奖,九鸽,SQL，HTML，后端开发，全栈开发，VUE,12,本科,1-3年,10,5,运营商/增值服务,不需要融资,20-99人
239,服务端开发工程师（java）,21.5,南京,五险一金，年终奖，股票期权，带薪年假，节日福利,麦博智能,SQL，分布式技术，网络协议，Spring，Dubbo，MySQL,13,本科,3-5年,5,6,医疗健康,B轮,20-99人
240,LAZADA-Java开发工程师-交易链路平台-杭州,29,杭州,,深圳市来赞达软件科技,后端工程师，Java,16,本科,3-5年,0,2,计算机软件,未融资,1000-9999人
241,CAD/CAX 软件研发工程师,22.5,合肥,带薪年假，股票期权，年终奖，五险一金，节日福利,设云科技,Python，软件工程师，后端开发，OpenGL，CUDA,13,本科,1-3年,5,5,计算机软件,A轮,20-99人
242,软件研发工程师,16,苏州,带薪年假，住房补贴，五险一金，员工旅游，定期体检，交通补助，节日福利，免费班车，年终奖,苏州和事兴,.NET，Oracle,12,大专,1-3年,9,2,计算机软件,不需要融资,20-99人
243,研发软件测试工程师,9.5,苏州,定期体检，餐补，五险一金，带薪年假，包吃，员工旅游，加班补助，全勤奖，补充医疗保险，年终奖,仁宝集团,性能测试，功能测试，Windows,12,本科,经验不限,10,3,电子/半导体/集成电路,不需要融资,未知
244,嵌入式软件研发工程师,18,天津,通讯补贴，年终奖，补充医疗保险，加班补助，带薪年假，住房补贴，五险一金，股票期权，餐补，员工旅游，节日福利，定期体检,中电科技(北京)...,驱动开发，嵌入式软件开发，BSP开发，ARM开发，Linux,12,本科,经验不限,12,5,计算机软件,未融资,0-20人
245,软件研发工程师（应用引擎方向）,32.5,北京,餐补，带薪年假，节日福利，年终奖，住房补贴，定期体检，补充医疗保险，五险一金，意外险，员工旅游，股票期权,图森未来,Python，数据结构，Linux，Cmake，C++，分布式技术,14,学历不限,3-5年,11,6,互联网,已上市,500-999人
246,单片机软件开发工程师,15.5,杭州,年终奖，生日福利，交通补助，带薪年假，五险一金，意外险，节日福利，员工旅游，团建聚餐，高温补贴，通讯补贴，定期体检，餐补,杭州金通科技,嵌入式技术，单片机开发,14,学历不限,3-5年,13,2,智能硬件,已上市,1000-9999人
247,机器人软件架构师,27.5,杭州,交通补助，餐补，节日福利，高温补贴，通讯补贴，带薪年假，绩效奖金，生日福利，零食下午茶，员工旅游，五险一金，补充医疗保险，团建聚餐，住房补贴，意外险，年终奖，定期体检,杭州五八智能科技,数据结构，多线程，Python，C语言，网络编程，算法基础,15,硕士,5-10年,17,6,学术/科研,不需要融资,100-499人
248,单片机软件开发工程师,8.5,东莞,加班补助，年终奖，住房补贴，五险一金，股票期权，餐补，员工旅游，包吃，节日福利，全勤奖，零食下午茶,东莞市鸿拓致科电...,单片机开发，芯片设计，C语言，汇编语言，电子半导体,12,大专,3-5年,11,5,电子/半导体/集成电路,不需要融资,未知
249,嵌入式软件开发工程师,15.5,天津,生日福利，餐补，五险一金，带薪年假，绩效奖金，年终奖，定期体检，节日福利,恒达文博,C++，STM32，Linux，嵌入式/单片机开发经验，ARM开发,12,本科,3-5年,8,5,移动互联网,B轮,500-999人
250,嵌入式软件开发工程师,40,上海,法定节假日三薪，带薪年假，补充医疗保险，五险一金，年终奖，通讯补贴，餐补，加班补助，定期体检，节日福利，生日福利，交通补助，免费班车，零食下午茶,紫光展锐,通信相关专业，RTOS/操作系统，threadx，freertos,12,本科,5-10年,14,4,电子/半导体/集成电路,未融资,未知
251,嵌入式软件开发工程师,10.5,宁波,,宁波纺织仪器厂,C++，电气电气/自动化相关专业，嵌入式/单片机开发经验,13,本科,1-3年,0,3,仪器仪表/工业自动化,未知,20-99人
252,上位机软件开发工程师,9.5,北京,,尼西泰润,C/C++,12,本科,1-3年,0,1,医疗健康,未知,0-20人
253,单片机软件开发工程师,16,长沙,五险一金,北斗微芯公司,C++，STM32开发，计算机相关专业，嵌入式软件开发,12,本科,1-3年,1,4,通信/网络设备,未融资,20-99人
254,（初级）软件测试自动化开发工程师,7,广州,零食下午茶，定期体检，年终奖，加班补助，五险一金,云岫科技,自动化测试，测试开发，软件测试,12,本科,1-3年,5,3,互联网,未融资,20-99人
255,无人驾驶软件架构师,22.5,北京,包吃，股票期权，年终奖，定期体检，补充医疗保险，五险一金,Momenta,系统架构，高级技术管理,12,本科,5-10年,6,2,互联网,C轮,500-999人
256,嵌入式软件开发工程师,8,安阳,宿舍有空调，定期体检，团建聚餐，绩效奖金，有无线网，生日福利，年终奖，员工旅游，包住，节日福利，五险一金,翔宇医疗,嵌入式技术，嵌入式软件开发，ARM开发，C语言，Linux,12,本科,3-5年,11,5,医疗设备/器械,已上市,1000-9999人
257,嵌入式软件开发工程师,18.5,宁波,五险一金,极限科技,C++，嵌入式技术，RTOS，嵌入式软件开发，驱动开发,13,本科,3-5年,1,5,通信/网络设备,未知,0-20人
258,高级软件全栈开发工程师,19,哈尔滨,绩效奖金，年终奖，免费工装，有无线网，生日福利，节日福利，零食下午茶，带薪年假，股票期权，节假日加班费，加班补助，住房补贴，团建聚餐，定期体检，五险一金,元始智能科技,全栈侧重后端，JavaScript，C/C++，Python,16,本科,3-5年,15,4,互联网,A轮,20-99人
259,嵌入式软件开发工程师,12.5,杭州,股票期权，补充医疗保险，年终奖，交通补助，节日福利，工龄奖，五险一金，团建聚餐，零食下午茶，全勤奖，员工旅游，节假日加班费，生日福利,星科云,ARM，嵌入式，c/c++,12,本科,1-3年,13,3,通信/网络设备,未融资,0-20人
260,嵌入式软件开发工程师,15.5,武汉,全勤奖，交通补助，年终奖，五险一金，住房补贴，绩效奖,湖北楚天龙,C，STM32开发，ARM开发，计算机相关专业，通信相关专业,13,大专,1年以内,6,5,数据服务,未融资,100-499人
261,嵌入式软件开发工程师,20,北京,五险一金，加班补助，年终奖，股票期权，带薪年假，员工旅游，节日福利,朗深科技,STM32开发，系统集成，通信相关专业，C,12,本科,3-5年,7,4,互联网,未融资,0-20人
262,嵌入式软件开发工程师（车载）,26.5,上海,住房补贴，绩效奖金，年终奖，包住，五险一金,创青汇,C，C++，STM32开发，mcu，嵌入式，车载,12,本科,3-5年,5,6,计算机软件,未知,20-99人
263,嵌入式软件工程师（算法开发方向）,21,福州,定期体检，员工旅游，节日福利，生日福利，带薪考驾照，五险一金，年终奖，加班补助，带薪年假，餐补,AIGOSTAR,C++，嵌入式技术，Linux，FreeRTOS，嵌入式软件开发,13,本科,经验不限,10,5,贸易/进出口,不需要融资,500-999人
264,前后端/移动端-开发专家/架构师,35,北京,股票期权，节日福利，定期体检，五险一金，免费班车，交通补助，员工旅游，餐补，年终奖，带薪年假，补充医疗保险,高德地图,Java，JavaScript，Python，C++，Objective-C，Swift,12,本科,5-10年,11,6,互联网,已上市,1000-9999人
265,软件研发经理,15.5,北京,餐补，带薪年假，五险一金，零食下午茶，通讯补贴,庆瑞霖,Java，分布式技术，多线程，SQL,12,本科,3-5年,5,4,通信/网络设备,未知,20-99人
266,研发项目经理（java）,13.5,武汉,带薪年假，五险一金，节日福利，餐补，股票期权，员工旅游，通讯补贴，住房补贴，包吃，年终奖，定期体检，交通补助,江西子楚科技有限公司,下肢残疾，Java，团队管理经验，分布式技术，架构师,13,本科,3-5年,12,5,计算机软件,天使轮,0-20人
267,金融软件开发,8,烟台,五险一金，保底工资，餐补，绩效奖金，带薪年假，节日福利,有为量化,Python，Java，R语言,12,本科,1-3年,6,3,计算机软件,未融资,0-20人
268,软件开发部经理,20,厦门,生日福利，年终奖，节假日加班费，全勤奖，节日福利，零食下午茶，五险一金，法定节假日三薪，带薪年假，加班补助，绩效奖金，包吃，团建聚餐，定期体检,安捷睿机器人,自动化开发经验，电子电气/自动化相关专业，计算机相关专业,12,本科,5-10年,14,3,仪器仪表/工业自动化,未融资,20-99人
269,嵌入式软件开发,30,上海,五险一金，节日福利，员工旅游，年终奖，定期体检，餐补，交通补助，带薪年假,逸动医学,C++，ARM开发，嵌入式/单片机开发经验，fpga，can,15,本科,5-10年,8,5,医疗设备/器械,B轮,100-499人
270,软件测试工程师,17.5,南京,定期体检，通讯补贴，带薪年假，免费班车，年终奖，加班补助，五险一金，餐补,苏宁体育,测试，测试工程师，软件测试，性能测试，接口测试,14,本科,3-5年,8,5,互联网,D轮及以上,500-999人
271,软件测试工程师,7.5,广州,五险一金，员工旅游，带薪年假，零食下午茶，节日福利，定期体检,华喜科技,性能测试，接口测试，Postman，Jmeter，功能测试,12,本科,3-5年,6,5,互联网,不需要融资,20-99人
272,软件测试工程师,27.5,大连,,沙河口区壹柒零文...,功能测试，软件测试，性能测试,12,本科,1-3年,0,3,休闲/娱乐,未知,0-20人
273,软件测试工程师,10.5,苏州,五险一金,图灵,自动化测试，QTP，LoadRunner，QC,13,本科,3-5年,1,4,企业服务,不需要融资,20-99人
274,软件测试工程师,5.5,石家庄,,藤工,功能测试，性能测试，通信相关专业，测试工作经验,12,大专,1-3年,0,4,电子/半导体/集成电路,未知,0-20人
275,软件测试工程师,11,深圳,英语培训，餐补，零食下午茶，定期体检，团建聚餐，生日福利，五险一金，交通补助，补充医疗保险，员工旅游，节假日加班费，通讯补贴，带薪年假，节日福利，年终奖,萨基姆通讯,嵌入式测试，PON，网关，路由器,12,本科,1-3年,15,4,通信/网络设备,不需要融资,1000-9999人
276,软件测试工程师,22.5,东莞,餐补，五险一金，定期体检，股票期权，零食下午茶，员工旅游，加班补助，补充医疗保险，年终奖，节日福利,华为,自动化测试,12,本科,3-5年,10,1,计算机软件,不需要融资,10000人以上
277,软件测试工程师,8.5,保定,节日福利，年终奖，零食下午茶，带薪年假，五险一金，员工旅游，加班补助,中科服,测试工程师，功能测试，性能测试，LoadRunner，网络安全,12,大专,1-3年,7,5,互联网,不需要融资,100-499人
278,软件测试工程师,10.5,上海,,易成才教育科技有...,Python，Postman，JMeter,13,本科,3-5年,0,3,培训机构,未知,500-999人
279,软件测试工程师,10.5,北京,节日福利，团建聚餐，零食下午茶，带薪年假，法定节假日三薪,多诺科技,功能测试，计算机相关专业，英语，财务,12,本科,1-3年,5,4,互联网,未融资,20-99人
280,软件测试工程师,8,北京,年终奖，五险一金，加班补助，节日福利，员工旅游，餐补，定期体检，全勤奖，带薪年假,云端微服,禅道，测试工程师，软件测试，SQL,12,本科,1-3年,9,4,计算机软件,未融资,100-499人
281,软件测试工程师,7.5,青岛,,速科,测试工程师，软件测试，功能测试，性能测试，自动化测试,13,本科,1年以内,0,5,通信/网络设备,未知,100-499人
282,软件测试工程师,17,北京,五险一金，定期体检，带薪年假，员工旅游，节日福利,国控天成,性能测试，MySQL，功能测试，LoadRunner，测试工程师,12,本科,3-5年,5,5,仪器仪表/工业自动化,不需要融资,未知
283,软件测试工程师,22.5,深圳,离职补偿，节日福利，股票期权，交通补助，定期体检，零食下午茶，补充医疗保险，年终奖，带薪年假，住房补贴，员工旅游，免费班车，加班补助，全勤奖，通讯补贴，餐补，五险一金,华为技术有限公司,功能测试，性能测试，自动化测试，Java，Python，MySQL,14,本科,经验不限,17,6,计算机软件,不需要融资,10000人以上
284,软件测试工程师,16,杭州,员工旅游，零食下午茶，补充医疗保险，节日福利，高温补贴，定期体检，五险一金，通讯补贴，餐补，年终奖，生日福利，带薪年假,华睿科技,软件测试，功能测试，性能测试,14,本科,1-3年,12,3,计算机软件,未融资,500-999人
285,软件测试工程师,9.5,福州,结婚礼金，年终奖，员工旅游，定期体检，生日福利，六险一金，餐补，节日福利,顶点软件,软件测试，LoadRunner,12,本科,1-3年,8,2,计算机软件,已上市,1000-9999人
286,软件测试工程师,8,杭州,五险一金,国科云景,功能测试，软件测试，性能测试,12,大专,1-3年,1,3,计算机软件,不需要融资,20-99人
287,软件测试工程师,6,南京,,普迈生物,测试工程师，软件测试，性能测试，功能测试，系统测试,12,本科,1年以内,0,5,制药,未知,0-20人
288,软件测试工程师,8,哈尔滨,交通补助，年终奖，五险一金，餐补,思灵机器人,功能测试，性能测试，自动化测试，Java，JMeter，MySQL,12,本科,3-5年,4,6,智能硬件,B轮,20-99人
289,软件测试工程师,6,珠海,五险一金，节日福利，零食下午茶，法定节假日三薪，意外险，交通补助，带薪年假，年终奖，全勤奖，餐补,酷哟科技,功能测试，Postman，JMeter，兼容测试,13,大专,1-3年,10,4,互联网,未融资,20-99人
290,软件测试工程师,30,杭州,五险一金，年终奖，员工旅游，餐补，补充医疗保险，定期体检，加班补助，带薪年假，通讯补贴，节日福利，全勤奖，交通补助，免费班车，零食下午茶，股票期权，离职补偿，住房补贴,华为技术有限公司,功能测试，性能测试，自动化测试，Java，Python，MySQL,16,本科,1年以内,17,6,计算机软件,不需要融资,10000人以上
291,软件测试工程师,14.5,武汉,带薪年假，股票期权，员工旅游，定期体检，通讯补贴，补充医疗保险，免费班车，节日福利，五险一金，交通补助，包吃，年终奖,法雷奥,功能测试，自动化测试，嵌入式测试，MySQL，嵌入式测试,14,本科,3-5年,12,5,汽车生产,已上市,10000人以上
292,软件测试工程师,10,宁波,年终奖，定期体检，员工旅游，股票期权，五险一金，餐补，补充医疗保险，节日福利，带薪年假,浙江大仓信息科技,软件测试，2年以上，本科，双休，五险一金,13,本科,1-3年,9,5,计算机软件,未融资,20-99人
293,软件测试工程师,7.5,广州,节日福利，定期体检，年终奖，带薪年假，五险一金，员工旅游,港鑫科技,SQL，系统测试，软件测试，Selenium，LoadRunner,12,本科,1-3年,6,5,计算机软件,不需要融资,100-499人
294,软件测试工程师,7,深圳,,海拓华擎,Jira，计算机相关专业，自动化测试经验,12,大专,1-3年,0,3,医疗设备/器械,未融资,20-99人
295,软件测试工程师,5.5,济南,,源蛋农牧科技,软件测试，功能测试，接口测试,12,大专,1-3年,0,3,计算机软件,未知,20-99人
296,软件测试工程师,9.5,珠海,股票期权，五险一金，加班补助，年终奖，节日福利，带薪年假，补充医疗保险，定期体检,慧博云通,功能测试，性能测试，自动化测试,12,本科,1-3年,8,3,计算机软件,已上市,1000-9999人
297,软件测试工程师,5.5,苏州,餐补，带薪年假，加班补助，五险一金,苏州泛云阅泽信息科技,性能测试，功能测试，软件测试，测试开发,12,大专,1-3年,4,4,计算机软件,未融资,20-99人
298,软件测试工程师,22.5,成都,五险一金，股票期权，带薪年假，定期体检，年终奖,爱旗,自动化测试，性能测试，黑盒测试,15,本科,3-5年,5,3,电子/半导体/集成电路,不需要融资,未知
299,软件测试工程师,10.5,杭州,五险一金，带薪年假，年终奖，餐补，股票期权，员工旅游，节日福利，定期体检，住房补贴，生日趴,新视窗,功能测试，性能测试，自动化测试,12,本科,3-5年,10,3,计算机软件,未融资,100-499人
300,软件测试工程师,16.5,深圳,年终奖，员工旅游，加班补助，餐补，定期体检，五险一金，节日福利，带薪年假，股票期权,深圳麦科田,功能测试，性能测试，嵌入式测试,12,本科,3-5年,9,3,医疗设备/器械,不需要融资,1000-9999人
301,软件测试工程师,10.5,上海,补充医疗保险，加班补助，全勤奖，节日福利，工龄福利,斐德,功能测试，性能测试,13,大专,1年以内,5,2,通信/网络设备,B轮,100-499人
302,ADAS 软件测试工程师,16.5,上海,,大陆泰密克,软件测试,12,本科,1-3年,0,1,企业服务,未知,1000-9999人
303,软件测试工程师,19.5,北京,五险一金，餐补，零食下午茶，年终奖，员工旅游，补充医疗保险，加班补助，股票期权，定期体检，节日福利,华为,测试，软件测试，自动化测试，Python，Java,12,本科,1-3年,10,5,计算机软件,不需要融资,10000人以上
304,软件测试工程师,9,嘉兴,生日福利，定期体检，意外险，团建聚餐，补充医疗保险，节假日加班费，保底工资，带薪年假，年终奖，零食下午茶，节日福利，五险一金,汉朔科技,功能测试,14,本科,在校/应届,12,1,新零售,D轮及以上,500-999人
305,软件测试工程师（高级）上海,10.5,上海,,猴软,测试工程师，Android移动端，IOS,12,本科,3-5年,0,3,计算机软件,未融资,20-99人
306,MCU软件测试工程师,12.5,南京,包吃，五险一金，交通补助，员工旅游，股票期权，节日福利，住房补贴，零食下午茶，年终奖，餐补，带薪年假,欣威视通,自动化测试，嵌入式测试,13,本科,经验不限,11,2,智能硬件,已上市,100-499人
307,车载软件测试工程师,18,上海,,布鲸,功能测试，性能测试，自动化测试，Python，计算机相关专业,13,大专,3-5年,0,5,计算机软件,未知,100-499人
308,研发软件测试工程师,9.5,苏州,定期体检，餐补，五险一金，带薪年假，包吃，员工旅游，加班补助，全勤奖，补充医疗保险，年终奖,仁宝集团,性能测试，功能测试，Windows,12,本科,经验不限,10,3,电子/半导体/集成电路,不需要融资,未知
309,银行软件测试工程师,14.5,北京,餐补，带薪年假，五险一金，双休，节日福利,天阳科技,功能测试，信用卡，信贷，银行,12,本科,3-5年,5,4,计算机软件,已上市,1000-9999人
310,高级软件测试工程师,23.5,上海,加班补助，节假日加班费，零食下午茶，带薪年假，员工旅游，股票期权，节日福利，法定节假日三薪，定期体检，团建聚餐，生日福利，年终奖，绩效奖金，五险一金,上海华为技术有限公司,自动化测试，嵌入式测试，Python，通信相关专业,12,本科,经验不限,14,4,通信/网络设备,不需要融资,10000人以上
311,电源软件测试工程师,16,上海,全勤奖，年终奖，带薪年假，定期体检，交通补助，餐补，免费班车，股票期权，加班补助，通讯补贴，五险一金，节日福利,新雷能,自动化测试，Python，LabView，软件测试,13,大专,3-5年,12,4,智能硬件,已上市,1000-9999人
