,岗位名称,薪资待遇,岗位详情,岗位地区,公司福利,公司名称,岗位需要技能,salary1,salary2,学历要求,工作经验要求,福利数量,需求技能数量,公司类型,融资情况,公司人数,score,Cluster,X,Y
314,中高级软件测试工程师,5-6K·13薪,3-5年，本科,44,零食下午茶，五险一金，年终奖，加班补助，交通补助，带薪年假,利博软件,Java，C++，通信相关专业，自动化测试，性能测试,13,5.5,6,6,6,5,计算机软件,4,5,0.12535167239762426,2,0.4364641,-0.03424965
315,软件测试工程师(J11457),12-16K,3-5年，本科,60,交通补助，免费班车，五险一金，定期体检，带薪年假，餐补，年终奖，补充医疗保险，节日福利,天加环境,功能测试，性能测试，自动化测试,12,14.0,6,6,9,3,机械设备/机电/重工,4,9,0.23601125351672395,4,0.00010916963,-0.78129905
316,软件测试工程师（影像效果/显示效果/音频）,15-30K,3-5年，本科,162,五险一金，零食下午茶，年终奖，定期体检，带薪年假，股票期权,OPPO,软件测试，手机测试,12,22.5,6,6,6,2,互联网,4,10,0.4776492653954361,0,-1.055215,0.9153234
317,软件测试开发工程师（QA工程师）,13-26K,3-5年，本科,111,,电动屋,Python,12,19.5,6,6,0,1,汽车生产,4,7,0.3229134104407628,0,-0.32402167,1.5513357
318,小米汽车-整车软件测试工程师（OTA方向）,20-35K·15薪,3-5年，本科,199,五险一金，股票期权，餐补，年终奖，定期体检，带薪年假，节日福利，补充医疗保险，12%公积金,小米,性能测试，自动化测试,15,27.5,6,6,9,2,互联网,10,10,0.6217567989996874,1,-2.5916662,-4.4061213
319,软件测试工程师（人社行业部）,6-8K,1-3年，本科,50,定期体检，节假日加班费，五险一金，团建聚餐，生日福利，年终奖，工龄奖，带薪年假，节日福利，加班补助，员工旅游,久远银海,性能测试，系统测试，安全测试，SQL，Linux，Jmeter,12,7.0,6,7,11,6,计算机软件,10,9,0.20944045014066895,1,-0.9693934,-3.662034
320,测试工程师,5-10K,1-3年，大专,8,年终奖，节日福利，全勤奖，带薪年假，加班补助，员工旅游,三桥科技,性能测试，功能测试，web端测试，移动端测试，接口测试,12,7.5,5,7,6,5,计算机软件,4,6,0.07408565176617694,2,0.69619703,-0.17903848
321,测试工程师,10-12K,1-3年，本科,221,五险一金，年终奖，餐补，通讯补贴，交通补助，节日福利,真如科技,软件测试，性能测试，SQL，Linux，Android，web端测试,12,11.0,6,7,6,6,互联网,4,6,0.5029696780243826,0,-0.54143494,0.5902347
322,测试工程师,4-9K,1-3年，学历不限,8,加班补助，带薪年假，五险一金,吉米物联,测试工程师，功能测试，硬件，接口测试，软件测试,12,6.5,1,7,3,5,移动互联网,4,6,0.04688965301656765,3,3.8665528,-0.8727848
323,测试工程师,18-35K,经验不限，本科,60,夜班补助，团建聚餐，带薪年假，零食下午茶，五险一金，加班补助，补充医疗保险，节假日加班费，意外险，法定节假日三薪，免费班车，定期体检，交通补助，员工旅游，年终奖，保底工资，绩效奖金,华为云计算,MySQL，测试开发，自动化测试，接口测试，web端测试,12,26.5,6,10,17,5,计算机服务,4,10,0.37011566114410765,4,-0.03277391,-1.4554431
324,测试工程师,12-18K·14薪,1-3年，本科,221,五险一金，年终奖，股票期权，员工旅游,北京晨雾科技有限...,Python，服务端测试，web端测试，Shell，SQL,14,15.0,6,7,4,5,计算机服务,6,5,0.5282900906533291,0,-0.44321212,0.79046446
325,测试工程师,10-11K,1-3年，本科,221,带薪年假，定期体检，通讯补贴，年终奖，补充医疗保险，五险一金，团建聚餐，生日福利，餐补，零食下午茶，有无线网，员工旅游，免费工装，股票期权，免费班车，节日福利，绩效奖金，住房补贴，交通补助，意外险,北醒,软件测试，Python，C++，功能测试，测试开发，嵌入式测试,12,10.5,6,7,20,6,智能硬件,8,7,0.567677399187246,4,-1.0331935,-1.4339144
326,测试工程师,15-30K,1-3年，本科,221,带薪年假，节日福利，包吃，五险一金,今日要点,软件测试，自动化测试，Shell，Linux，MySQL,12,22.5,6,7,4,5,互联网,4,7,0.5773679274773368,0,-0.6668812,0.74699646
327,测试工程师,20-40K·16薪,在校/应届，本科,162,餐饮及下午茶，五险一金，补充医疗保险，家属自选保险，节日礼品，免费健身设施，就近租房补贴，年度体检，家庭关爱假，弹性工作制,今日头条,移动端，测试工程师，软件测试，接口测试，功能测试,16,30.0,6,9,10,5,移动互联网,4,10,0.5689277899343546,4,-1.1176779,-0.5407671
328,测试工程师,11-18K,3-5年，本科,199,餐补，免费班车，带薪年假，年终奖，五险一金，定期体检，员工旅游，节日福利,威派格,Python，Linux，自动化测试，接口测试，软件测试，性能测试,12,14.5,6,6,8,6,智能硬件,10,9,0.5276648952797749,1,-1.4898199,-3.1889672
329,测试工程师,5-10K,1-3年，本科,61,交通补助，带薪年假，通讯补贴，节日福利，年终奖，定期体检，股票期权，餐补，补充医疗保险，零食下午茶,珞安科技,测试，测试工程师，软件测试，自动化测试，功能测试,12,7.5,6,7,10,5,计算机软件,8,7,0.2097530478274461,4,-0.37139782,-1.9716339
330,测试工程师,7-10K,3-5年，本科,44,,吴中区城区百溪日用百,测试工程师，软件测试，自动化测试，性能测试，功能测试,12,8.5,6,6,0,5,食品/饮料/烟酒,4,5,0.12285089090340731,2,0.47220597,0.05754547
331,测试工程师,6-8K,3-5年，大专,61,,佳凯智能,软件测试，测试开发,12,7.0,5,6,0,2,互联网,4,6,0.1384807752422632,2,0.7019527,0.71248245
332,测试工程师,10-15K·15薪,1-3年，本科,19,定期体检，年终奖，法定节假日三薪，股票期权，零食下午茶，团建聚餐，生日福利，高温补贴，带薪年假，节日福利，意外险，交通补助，通讯补贴，五险一金，补充医疗保险,锐捷网络,自动化测试，软件测试，功能测试，Python，Linux，Windows,15,12.5,6,7,15,6,通信/网络设备,10,10,0.21537980618943417,1,-1.0604477,-4.2218485
333,测试工程师,6-9K·13薪,1-3年，大专,44,五险一金，年终奖，员工旅游，节日福利,苏州谷壳网络,软件测试，自动化测试，功能测试，小程序测试,13,7.5,5,7,4,4,计算机软件,4,6,0.1344170053141607,2,0.7112848,0.15402499
334,测试工程师,8-13K,1-3年，本科,221,定期体检，年终奖，带薪年假，员工旅游，股票期权，五险一金,中盛益华,Windows，Linux，MySQL，系统测试，软件测试,12,10.5,6,7,6,5,计算机软件,4,7,0.5017192872772742,0,-0.47718528,0.7907
335,测试工程师,10-15K·14薪,1年以内，本科,221,五险一金，带薪年假，补充医疗保险，年终奖，股票期权，定期体检，免费班车，交通补助,理想汽车,Python，MySQL，自动化测试，功能测试，性能测试,14,12.5,6,8,8,5,智能硬件,10,10,0.5673648015004689,1,-1.6715211,-4.223858
336,测试工程师,5-8K,1-3年，本科,11,年终奖，节日福利，带薪年假，五险一金,锐特信息,测试开发，软件测试,12,6.5,6,7,4,2,互联网,4,8,0.07002188183807438,2,0.808304,0.38264453
337,测试工程师,12-16K·15薪,3-5年，本科,61,零食下午茶，员工旅游，加班补助，五险一金，股票期权，住房补贴，年终奖，免费工装，节日福利，定期体检，带薪年假，生日福利,同为股份,性能测试，软件测试，自动化测试,15,14.0,6,6,12,3,通信/网络设备,10,9,0.27821194123163484,1,-1.1572891,-4.4022236
338,测试工程师,10-15K,5-10年，本科,40,股票期权，零食下午茶，补充医疗保险，意外险，员工旅游，五险一金，年终奖，交通补助，餐补，节日福利，带薪年假,云畅科技,自动化测试，安全测试，性能测试，功能测试，软件测试,12,12.5,6,5,11,5,互联网,4,7,0.18818380743982493,4,0.0031913184,-0.43072963
339,测试工程师,12-20K·13薪,经验不限，本科,162,零食下午茶，通讯补贴，五险一金，聚餐，定期体检，交通补助，员工旅游，加班补助，带薪年假，餐补，节日福利，季度奖，交通方便,海士通信,功能测试，性能测试，软件测试,13,16.0,6,10,13,3,通信/网络设备,4,5,0.44732728977805564,0,0.14545712,1.9646525
340,测试工程师,18-35K·15薪,经验不限，本科,111,员工旅游，节日福利，零食下午茶，五险一金，补充医疗保险，定期体检，加班补助，餐补，年终奖，股票期权,华为,自动化测试，软件测试，测试开发，性能测试，系统测试,15,26.5,6,10,10,5,计算机软件,4,10,0.4492028758987184,4,-0.55059004,-0.74238735
341,测试工程师,5-10K,1-3年，大专,11,节日福利，带薪年假，加班补助，定期体检，通讯补贴，餐补，补充医疗保险，年终奖，零食下午茶，五险一金,H3C,SQL，软件测试，银行测试，MySQL，银行，金融,12,7.5,5,7,10,6,信息安全,4,10,0.11628633948108781,4,0.12529138,-0.7596903
342,测试工程师,20-30K,3-5年，本科,221,加班补助，补充医疗保险，员工旅游，年终奖，五险一金，股票期权，节日福利，餐补，定期体检，零食下午茶,华为,性能测试，自动化测试，软件测试,12,25.0,6,6,10,3,计算机软件,4,10,0.6220693966864647,0,-1.3450166,-0.078989
343,测试工程师,8-10K·13薪,3-5年，本科,22,餐补，五险一金，年终奖，定期体检，节日福利，带薪年假，补充医疗保险，加班补助，股票期权，员工旅游,领雁科技,自动化测试，自动化测试经验，软件测试,13,9.0,6,6,10,3,计算机软件,4,9,0.13629259143482336,4,0.21551402,-0.8913868
344,测试工程师,12-23K·14薪,经验不限，本科,11,股票期权，年终奖，员工旅游，定期体检，零食下午茶，餐补，五险一金，节日福利，加班补助，补充医疗保险,华为,自动化测试，性能测试，测试开发，Python，Java，Shell,14,17.5,6,10,10,6,计算机软件,4,10,0.20006251953735543,4,0.3499321,-1.348644
345,测试工程师,12-20K·14薪,3-5年，本科,221,五险一金，带薪年假，节日福利,哗啦啦,软件测试，功能测试，接口测试，黑盒测试,14,16.0,6,6,3,4,移动互联网,4,9,0.5389184120037512,0,-0.64706963,0.9009532
346,测试工程师,6-8K,1-3年，本科,199,,欢趣网络,软件测试，手机测试，测试,12,7.0,6,7,0,3,移动互联网,6,6,0.4126289465457957,0,-0.13449852,1.4791858
347,测试工程师,20-30K·16薪,3-5年，本科,221,交通补助，员工旅游，带薪年假，年终奖，定期体检，补充医疗保险，餐补，通讯补贴，节日福利，五险一金，零食下午茶,快看漫画,Linux，性能测试，接口测试，APP测试，Charles，软件测试,16,25.0,6,6,11,6,文化/体育/娱乐,9,8,0.6527039699906221,4,-1.4597197,-1.931117
348,测试工程师,5-8K,1-3年，本科,61,五险一金，定期体检，年终奖，节日福利,湖北浮泽,软件测试，安全测试，APP测试,12,6.5,6,7,4,3,互联网,4,7,0.16161300406377,2,0.52115613,0.5539669
349,测试工程师,11-20K,3-5年，本科,162,员工旅游，定期体检，零食下午茶，带薪年假，五险一金，节日福利，年终奖,智果云信息科技(...,软件测试，性能测试，接口测试，硬件测试，APP测试,12,15.5,6,6,7,5,智能硬件,5,5,0.42013129102844643,0,-0.34595674,0.6013284
350,BSP测试工程师,11-22K,经验不限，本科,17,补充医疗保险，节日福利，定期体检，餐补，股票期权，年终奖，员工旅游，带薪年假，交通补助，五险一金,华勤技术股份有限公司,软件测试，系统测试，黑盒测试，手机测试,12,16.5,6,10,10,4,智能硬件,7,10,0.20506408252578928,1,0.21421036,-3.1582613
351,测试工程师（中级）,7-10K·13薪,1-3年，大专,40,交通补助，补充医疗保险，全勤奖，员工旅游，带薪年假，股票期权，加班补助，年终奖，五险一金，餐补，通讯补贴，定期体检,长沙问白衣智能科...,软件测试，自动化测试，功能测试，接口测试，小程序测试,13,8.5,5,7,12,5,电子商务,4,7,0.16911534854642077,4,0.35390308,-0.7362005
352,测试工程师,4-8K,1-3年，大专,14,全勤奖，通讯补贴，意外险，工龄奖，夜班补助，保底工资，交通补助，有无线网，餐补，加班补助，住房补贴，生日福利，年终奖,科链九维,功能测试，性能测试，压力测试，计算机相关专业,12,6.0,5,7,13,4,电子商务,4,5,0.09127852453891838,4,0.80601627,-0.6995824
353,测试工程师,11-17K,3-5年，本科,221,定期体检，交通补助，五险一金，节日福利，补充医疗保险，带薪年假，加班补助,独角蜂,功能测试，性能测试，自动化测试，寿险行业,12,14.0,6,6,7,4,计算机软件,4,7,0.5239137230384496,0,-0.5900887,0.95485574
354,测试工程师,7-10K,3-5年，大专,11,生日福利，节日福利，员工旅游,韦奇伍德,功能测试，性能测试，测试工作经验,12,8.5,5,6,3,3,家具/家电/家居,4,7,0.0731478587058456,2,0.64989215,0.3230803
355,测试工程师,7-10K,3-5年，大专,17,生日福利，节日福利，带薪年假，加班补助，零食下午茶，员工旅游，法定节假日三薪，团建聚餐，保底工资，底薪加提成，五险一金，定期体检，有无线网，绩效奖金,恒为信息科技,功能测试，性能测试，自动化测试,12,8.5,5,6,14,3,互联网,5,6,0.12097530478274464,4,0.4721776,-0.8427226
356,测试工程师,15-30K·14薪,3-5年，本科,221,餐补，住房补贴，带薪年假，节日福利，免费班车，年终奖，补充医疗保险，五险一金，全勤奖,京东乾石,Java，Python，SQL，Linux，MySQL，接口自动化测试,14,22.5,6,6,9,6,互联网,10,10,0.6373866833385433,1,-1.8953066,-3.3667774
357,测试工程师,7-10K,在校/应届，大专,10,年终奖，员工旅游，住房补贴，加班补助，五险一金，餐补，股票期权，带薪年假,绿能新能源,性能测试,12,8.5,5,9,8,1,检测/认证,4,5,0.08033760550171927,2,1.5683892,1.100257
358,测试工程师,11-16K·15薪,1-3年，本科,60,餐补，节日福利，交通补助，加班补助，零食下午茶，年终奖，全勤奖，五险一金，住房补贴，定期体检，股票期权，带薪年假，员工旅游,中安智能,Linux，性能测试，功能测试，Python,15,13.5,6,7,13,4,计算机软件,6,7,0.2566427008440138,4,-0.007463973,-0.89476764
359,测试工程师,9-12K,3-5年，本科,84,交通补助，通讯补贴，定期体检，带薪年假，意外险，补充医疗保险，年终奖，五险一金，朝九晚六，股票期权，餐补,神州信息,自动化测试，性能测试，计算机相关专业，测试工作经验,12,10.5,6,6,11,4,计算机软件,10,10,0.29415442325726787,1,-1.2322346,-4.4851274
360,测试工程师,12-15K·16薪,1-3年，本科,162,定期体检，五险一金，补充医疗保险，加班补助，年终奖，员工旅游，股票期权，带薪年假，节日福利,创维光伏,计算机相关专业,16,13.5,6,7,9,1,新能源,4,7,0.4207564864020007,0,-0.2591934,2.064067
361,测试工程师,18-36K,经验不限，本科,162,包吃，员工旅游，通讯补贴，交通补助，年终奖，股票期权，餐补，五险一金，带薪年假，免费班车，定期体检，节日福利，零食下午茶，加班补助,顺丰科技,自动化测试，性能测试，功能测试,12,27.0,6,10,14,3,互联网,4,9,0.5439199749921851,4,-0.9839914,-0.18913499
362,测试工程师,12-20K,3-5年，本科,162,年终奖，股票期权，五险一金，全勤奖，员工旅游，带薪年假，定期体检，餐补，节日福利，零食下午茶,辰卓科技,系统测试，示波器，万用表,12,16.0,6,6,10,3,通信/网络设备,6,6,0.4370115661144108,0,-0.43378717,0.737719
363,测试工程师,5-10K,1-3年，本科,111,五险一金，绩效奖金，生日福利，带薪年假，员工旅游，节日福利，定期体检，零食下午茶,迦智科技,功能测试，系统测试，机器人，Linux，人工智能，自动化测试,12,7.5,6,7,8,6,计算机软件,8,7,0.299468583932479,4,-0.6935506,-1.4362803
364,测试工程师,8-10K,经验不限，本科,12,,洁源电器,性能测试，测试工作经验，嵌入式测试,12,9.0,6,10,0,3,汽车零部件,4,7,0.08065020318849644,2,1.3938559,0.67628115
365,测试工程师,10-15K,3-5年，本科,44,股票期权，住宿，年终奖，定期体检，免费班车，节日福利，餐补，五险一金，带薪年假,三一重机有限公司,Java，SQL，测试开发,12,12.5,6,6,9,3,机械设备/机电/重工,10,10,0.2231947483588621,1,-1.1818641,-4.77285
366,测试工程师,5-10K,经验不限，本科,12,包吃，免费班车，五险一金，带薪年假，住房补贴，餐补，节日福利,神玥软件,功能测试，压力测试，性能测试，MySQL，JMeter,12,7.5,6,10,7,5,计算机软件,10,9,0.132541419193498,1,-0.2909656,-4.7770214
367,测试工程师,6-11K·15薪,1-3年，大专,2,通讯补贴，节日福利，零食下午茶，带薪年假，股票期权，定期体检，年终奖，五险一金,视微,功能测试，性能测试，压力测试,15,8.5,5,7,8,3,医疗设备/器械,8,7,0.09846827133479213,4,0.2749711,-2.439398
368,测试工程师,10-15K·13薪,1-3年，大专,11,,淼净,系统测试,13,12.5,5,7,0,1,移动互联网,4,7,0.08971553610503283,2,1.1280869,1.0375285
369,测试工程师,10-15K·16薪,1-3年，本科,221,五险一金，定期体检，补充医疗保险，零食下午茶，节日福利，股票期权，带薪年假，年终奖，免费班车，通讯补贴，餐补，全勤奖，员工旅游,世纪高通,性能测试，Postman，Jmeter,16,12.5,6,7,13,3,数据服务,4,7,0.543919974992185,0,-0.5524803,1.2775418
370,测试工程师,12-20K,1-3年，大专,221,不扣考勤，带薪年假，图书补助，年终奖，餐补，股票期权，两餐，五险一金，零食下午茶，交通补助，节日福利,客知音,测试工程师，自动化测试，Python，Shell，网络协议,12,16.0,5,7,11,5,计算机软件,6,6,0.5567364801500468,0,-0.35254577,0.2226818
371,测试工程师,3-6K,经验不限，大专,2,,天盈,功能测试，性能测试，系统测试，测试开发,12,4.5,5,10,0,4,贸易/进出口,4,5,0.02125664270084398,2,1.7593628,-0.08870946
372,测试工程师,11-14K,5-10年，大专,162,,上海瑞应人才科技,功能测试，移动端，产险，平安,12,12.5,5,5,0,4,计算机软件,4,8,0.3788683963738669,0,-0.28254482,0.85384136
373,测试工程师,20-40K,3-5年，本科,111,五险一金,蚂蚁智信(杭州)信息,测试工程师，接口测试，测试开发，白盒测试，Java，Shell,12,30.0,6,6,1,6,互联网,4,9,0.4226320725226633,0,-0.6721245,0.32197928
374,测试工程师,10-15K,1-3年，本科,221,团建聚餐，工龄奖，零食下午茶，底薪加提成，定期体检，餐补，五险一金，节日福利，生日福利，保底工资，免费工装，员工旅游,36氪集团,功能测试，web测试，手机测试,12,12.5,6,7,12,3,互联网,10,9,0.5629884338855892,1,-1.7466544,-4.4253035
375,测试工程师,10-15K·15薪,1-3年，本科,61,带薪年假，补充医疗保险，五险一金，年终奖，生日福利，团建旅游，带薪病假，餐补，通讯补贴,上扬软件,功能测试，性能测试，压力测试，JMeter，Selenium,15,12.5,6,7,9,5,计算机软件,8,7,0.24820256330103163,4,-0.414516,-1.7959192
376,测试工程师,14-24K,3-5年，本科,221,五险一金，补充医疗保险，免费班车，餐补,京东科技集团,功能测试，性能测试，自动化测试,12,19.0,6,6,4,3,互联网,4,9,0.5551734917161614,0,-0.88495326,1.332829
377,测试工程师,6-8K,经验不限，本科,50,加班补助，团建聚餐，股票期权，定期体检，绩效奖金,钦原科技,手机测试，性能测试，压力测试，功能测试，计算机相关专业,12,7.0,6,10,5,5,计算机软件,4,9,0.17099093466708343,4,0.5850405,-0.7356404
378,测试工程师,11-16K,3-5年，大专,12,员工旅游，补充医疗保险，定期体检，带薪年假，全勤奖，年终奖，加班补助，五险一金，免费班车，餐补，交通补助,联滔电子,计算机相关专业，通信相关专业，测试工作经验,12,13.5,5,6,11,3,电子/半导体/集成电路,10,4,0.1444201312910285,1,-0.1585779,-2.719284
379,测试工程师,4-5K,经验不限，大专,11,零食下午茶，五险一金，生日福利，宿舍有空调，通讯补贴，年终奖，团建聚餐，培训，带薪年假，餐补，加班补助，高温补贴，节日福利，包住，绩效奖金，底薪加提成，节假日加班费，员工旅游，包吃,沃特检验集团,功能测试，性能测试，安全测试，负载测试,12,4.5,5,10,19,4,其他行业,4,9,0.12347608627696154,4,1.2344275,-2.0242143
380,测试工程师,15-20K,3-5年，学历不限,199,节日福利，补充医疗保险，带薪年假，餐补，股票期权，通讯补贴，交通补助，五险一金，定期体检，零食下午茶，年终奖,奇安信集团,功能测试，自动化测试,12,17.5,1,6,11,2,信息安全,10,9,0.5348546420756487,1,3.240815,-7.150483
381,测试工程师,8-12K,3-5年，大专,44,餐补，住房补贴，免费班车，年终奖，节日福利，员工旅游，全勤奖，带薪年假，补充医疗保险，定期体检，加班补助，五险一金，包吃,立讯科技,测试开发,12,10.0,5,6,13,1,电子/半导体/集成电路,4,4,0.15911222256955299,2,0.80546737,0.45914227
382,测试工程师,10-15K·13薪,3-5年，本科,84,节日福利，五险一金，带薪年假，零食下午茶，交通补助，餐补，年终奖，股票期权，定期体检，免费班车，补充医疗保险，员工旅游,阿里巴巴智能信息事业群,Python，Java，自动化测试，接口测试，性能测试，B/S端,13,12.5,6,6,12,6,互联网,10,9,0.3144732728977806,1,-1.1461698,-3.4122095
383,测试工程师,6-10K·13薪,1-3年，本科,4,团建聚餐，节日福利，全勤奖，五险一金，绩效奖金,秦皇岛米泽科技,功能测试，性能测试,13,8.0,6,7,5,2,互联网,4,5,0.05814316974054388,2,0.97808385,0.36090255
384,测试工程师,4-5K,1年以内，大专,17,,今腾电子,autocad,12,4.5,5,8,0,1,日化,4,7,0.04595185995623632,2,1.3228923,1.1881542
385,测试工程师,16-28K·15薪,5-10年，本科,12,宿舍有空调，生日福利，餐补，高温补贴，五险一金，通讯补贴，加班补助，包住，工龄奖，包吃，绩效奖金，团建聚餐，定期体检，年终奖，免费工装，法定节假日三薪，有无线网，带薪年假，员工旅游，节日福利,海得新能源,功能测试，性能测试，自动化测试，测试工作经验,15,22.0,6,5,20,4,互联网,4,7,0.23663644889027824,4,-0.14945686,-0.70779204
386,测试工程师,8-10K·13薪,经验不限，本科,3,包住，有无线网，交通补助，加班补助，生日福利，通讯补贴，节日福利，带薪年假，宿舍有空调，免费班车，定期体检，餐补，住房补贴，年终奖，团建聚餐，全勤奖，五险一金，免费工装,天能帅福得,性能测试，功能测试,13,9.0,6,10,18,2,新能源,10,9,0.15786183182244454,1,0.24364367,-5.864734
387,支付类测试工程师,10-15K,3-5年，大专,199,节日福利，带薪年假，五险一金，员工旅游，定期体检，年终奖,龙诺,功能测试，软件测试，黑盒测试,12,12.5,5,6,6,3,电子商务,4,6,0.45858080650203187,0,-0.4220896,1.0768981
388,测试工程师,5-8K·13薪,1-3年，大专,4,员工旅游，餐补，全勤奖，年终奖，加班补助，带薪年假，保底工资，绩效奖金，零食下午茶，交通补助，生日福利，节日福利,易天科技,功能测试，性能测试，JMeter，Postman，Fiddler,13,6.5,5,7,12,5,计算机软件,4,6,0.08283838699593622,4,0.6353059,-0.62633616
389,汽车电子测试工程师,11-18K,3-5年，大专,8,,回城信息科技技术,软件测试,12,14.5,5,6,0,1,计算机软件,4,7,0.09284151297280399,2,0.9197458,0.92976165
390,测试工程师,5-8K,1-3年，大专,11,,优能科技,功能测试，压力测试，JMeter，Postman，测试工作经验,12,6.5,5,7,0,5,计算机软件,4,6,0.05220381369177865,2,0.81046367,-0.057424456
391,测试工程师,10-11K,1-3年，本科,12,,天津中汽研新能源...,功能测试，性能测试，测试工作经验，自动化测试经验,12,10.5,6,7,0,4,检测/认证,4,7,0.08627696155048455,2,0.6538538,0.18667698
392,tbox测试工程师,11-17K·13薪,3-5年，本科,199,,埃维汽车,tbox，IAM，ICB,13,14.0,6,6,0,3,互联网,4,8,0.46326977180368867,0,-0.5737242,1.3630509
393,测试工程师（实习）,3-5K,经验不限，本科,221,年终奖，带薪年假，加班补助，节日福利，员工旅游，餐补，五险一金，绩效奖金，交通补助，年度调薪,搜狐焦点,测试,12,4.0,6,10,10,1,互联网,4,5,0.45701781806814645,0,0.119601086,3.723877
394,NPI测试工程师,8-13K,1-3年，大专,44,五险一金，补充医疗保险，定期体检,诺达佳,功能测试，性能测试，自动化测试,12,10.5,5,7,3,3,计算机硬件,4,7,0.15129728040012505,2,0.7470207,0.36388642
395,测试工程师助理,10-11K,在校/应届，本科,2,全勤奖，年终奖,湖南新中天防雷检...,防雷检测,12,10.5,6,9,2,1,检测/认证,4,5,0.060956548921537936,2,1.454272,1.2578659
396,雷达测试工程师,12-18K,经验不限，本科,221,全勤奖，绩效奖金，餐补，零食下午茶，免费工装，团建聚餐，股票期权，生日福利，交通补助，五险一金，节假日加班费,陕西智星空间科技...,Windows，Linux，测试开发，自动化测试，通信测试,12,15.0,6,10,11,5,船舶/航空/航天,6,6,0.5598624570178181,0,-0.38274026,0.9451359
397,SMT测试工程师,9-13K·14薪,3-5年，本科,6,五险一金，定期体检，年终奖，带薪年假，住房补贴，股票期权，节日福利，员工旅游，免费班车，餐补，全勤奖，加班补助,歌尔,硬件测试，SMT测试，贴片机富士NXT系列，松下NPM系列,14,11.0,6,6,12,4,智能硬件,10,10,0.15973741794310722,1,-1.069097,-4.5247536
398,TE测试工程师,10-11K,3-5年，本科,11,,鼎新电子,自动化测试，性能测试，功能测试,12,10.5,6,6,0,3,电子/半导体/集成电路,4,8,0.08408877774304471,2,0.5835967,0.40095526
399,测试工程师助理,7-9K,1年以内，大专,14,交通补助，餐补，员工旅游，底薪加提成,南昌乃知文化传播,Java，Python，Golang,12,8.0,5,8,4,3,其他服务业,4,5,0.07377305407939982,2,1.296789,0.054788932
400,测试工程师-汽车电子,11-17K·15薪,经验不限，本科,61,高温补贴，交通补助，股票期权，补充医疗保险，带薪年假，通讯补贴，餐补，定期体检，年终奖，生日福利，免费班车，团建聚餐，五险一金，免息住房借款,海康威视,音视频，摄像头，汽车电子，软件测试，PC测试，硬件测试,15,14.0,6,10,14,6,计算机软件,10,10,0.3085339168490153,1,-0.68843746,-4.749113
401,资深测试工程师,25-45K·16薪,5-10年，本科,199,五险一金，定期体检，年终奖，绩效奖金，节日福利，加班补助，带薪年假，股票期权，交通补助，零食下午茶，生日福利，餐补,得物App,Java，Python，计算机相关专业,16,35.0,6,5,12,3,电子商务,7,9,0.6702094404501407,4,-2.1003103,-1.2822945
402,资深测试工程师,20-40K,5-10年，本科,199,,恒羽投资,自动化测试，渗透测试，压力测试，Java，Python,12,30.0,6,5,0,5,食品/饮料/烟酒,4,7,0.5689277899343544,0,-1.2035046,0.5751137
403,TE测试工程师,9-14K,1-3年，本科,12,定期体检，员工旅游，节日福利，五险一金，生日福利，全勤奖，带薪年假，宿舍有空调，团建聚餐，交通补助，包吃，餐补，工龄奖，免费工装，有无线网,祐富百胜宝电器,功能测试，性能测试，自动化测试，测试工作经验,12,11.5,6,7,15,4,家具/家电/家居,4,9,0.15473585495467332,4,0.18645294,-0.98094857
404,装备测试工程师,6-10K,3-5年，大专,2,员工旅游，底薪加提成，有无线网，年终奖，法定节假日三薪，补充医疗保险，股票期权，高温补贴，团建聚餐，节日福利，包住，带薪年假，宿舍有空调，餐补，保底工资，绩效奖金，节假日加班费，加班补助，定期体检，五险一金,牧原智能科技,功能测试，自动化测试，渗透测试，测试工作经验,12,8.0,5,6,20,4,智能硬件,4,9,0.12410128165051576,4,0.28624424,-1.2368717
405,雷达测试工程师,10-15K,1年以内，本科,221,餐补，零食下午茶，定期体检，股票期权，带薪年假，年终奖，交通补助，补充医疗保险，节日福利，住房补贴，五险一金,微度芯创,Vision,12,12.5,6,8,11,1,电子/半导体/集成电路,6,7,0.5314160675211004,0,-0.43429145,2.0048957
406,测试工程师（c++）-汽车,15-30K·13薪,3-5年，本科,44,五险一金，节日福利，年终奖，股票期权，带薪年假，员工旅游，定期体检，调薪制度，通讯补贴,瀚川智能科技,MySQL,13,22.5,6,6,9,1,智能硬件,10,9,0.28383869959362296,1,-1.5442344,-4.624889
407,测试工程师（性能测试）,8-13K,1-3年，本科,50,团建聚餐，交通补助，定期体检，工龄奖，带薪年假，年终奖，生日福利，零食下午茶，五险一金，节日福利，补充医疗保险,天府市民云,功能测试，性能测试，压力测试，JMeter，MySQL,12,10.5,6,7,11,5,数据服务,4,6,0.19318537042825884,4,0.27841142,-0.4796275
408,数据库一体机测试工程师,10-15K,3-5年，本科,61,五险一金，零食下午茶，带薪年假，餐补，补充医疗保险，交通补助，节日福利，通讯补贴,达梦数据库,自动化测试，计算机相关专业，测试工作经验，自动化测试经验,12,12.5,6,6,8,4,计算机软件,9,9,0.24570178180681462,1,-0.92632455,-3.3010826
