,岗位名称,薪资待遇,岗位详情,岗位地区,公司福利,公司名称,岗位需要技能,salary1,salary2,学历要求,工作经验要求,福利数量,需求技能数量,公司类型,融资情况,公司人数,score
490,测试工程师,10-15K,3-5年，本科,上海,五险一金，带薪年假，定期体检，零食下午茶，年终奖，团建活动，股票期权，节日福利,慧拾智能,测试，自动化测试，测试工程师,12,12.5,本科,3-5年,8,3,计算机服务,天使轮,20-99人,0.3036986557228928
491,测试工程师,13-18K·13薪,3-5年，本科,广州,五险一金，餐补，加班补助，股票期权，交通补助，员工旅游，年终奖，节日福利，带薪年假，全勤奖，定期体检，零食下午茶,双龙互娱,自动化测试，接口测试，安全测试，移动端自动化测试，Linux,13,15.5,本科,3-5年,12,5,移动互联网,不需要融资,100-499人,0.3718695402544166
492,测试工程师,12-18K·13薪,3-5年，大专,无锡,,无锡深南电路有限公司,ICT，FCT,13,15.0,大专,3-5年,0,2,电子/半导体/集成电路,未知,1000-9999人,0.26541452800287396
493,测试工程师,3-5K,经验不限，中专/中技,深圳,员工旅游，补充医疗保险，定期体检，全勤奖，五险一金，带薪年假，年终奖，股票期权,迈贝尔,示波器，万用表，信号发生器，逻辑分析仪,12,4.0,中专/中技,经验不限,8,4,互联网,未融资,0-20人,0.33930735544080265
494,潍坊初屹科技有限公司招聘手机维修,4-8K,经验不限，中专/中技,潍坊,,潍坊初屹科技有限公司,保底工资，包吃,12,6.0,中专/中技,经验不限,0,2,检测/认证,未知,20-99人,0.19615643780260297
495,测试工程师,12-19K,1-3年，本科,上海,节日福利，年终奖，五险一金，股票期权，免费班车，通讯补贴，定期体检，补充医疗保险，带薪年假,施耐德电气,电池/电源类，智能硬件类，光电器件类，硬件测试经验,12,15.5,本科,1-3年,9,4,其他行业,已上市,10000人以上,0.745322590235924
496,应用测试工程师,7-10K,在校/应届，本科,深圳,带薪培训，节日福利，带薪年假，定期体检，全勤奖，通讯补贴，五险一金，员工旅游，加班补助，出差补贴，绩效奖，年终奖,劲鑫科技,自动化测试经验，继电器，模电/数电，通信相关专业,12,8.5,本科,在校/应届,12,4,仪器仪表/工业自动化,A轮,100-499人,0.4830627696949315
497,ATE测试工程师,20-30K·13薪,3-5年，本科,北京,员工旅游，住房补贴，加班补助，包吃，全勤奖，交通补助，定期体检，五险一金，补充医疗保险，餐补，年终奖，股票期权，通讯补贴，零食下午茶，节日福利，带薪年假,升宇科技,电子半导体，ATE，集成电路，消费电子，硬件,13,25.0,本科,3-5年,16,5,电子/半导体/集成电路,不需要融资,未知,0.38258571083497267
498,RF测试工程师,4-7K·13薪,1-3年，大专,深圳,五险一金，年终奖，餐补，交通补助，补充医疗保险，带薪年假，定期体检，免费班车，加班补助，节日福利,必维国际检验集团,万用表，手机硬件测试，电磁兼容测试，射频测试,13,5.5,大专,1-3年,10,4,企业服务,已上市,1000-9999人,0.6716105936428173
499,实施测试工程师,8-10K,经验不限，本科,北京,公租房，通讯补贴，带薪年假，加班补助，五险一金，定期体检，员工旅游，节日福利，年终奖，餐补，股票期权，交通补助，免费班车,天元特通,无线通信，传输线路设计，shell及python脚本，通信基础知识,12,9.0,本科,经验不限,13,4,计算机软件,不需要融资,100-499人,0.4764867100802155
500,测试工程师/主管,5-10K·13薪,1-3年，大专,苏州,,四维检测,材料及可靠性,13,7.5,大专,1-3年,0,1,检测/认证,未知,100-499人,0.1463798671538498
501,台架测试工程师,12-20K,3-5年，本科,上海,住房补贴，全勤奖，年终奖，节日福利，定期体检，餐补，交通补助，五险一金，加班补助，带薪年假,储融检测,Labview,12,16.0,本科,3-5年,10,1,检测/认证,不需要融资,100-499人,0.30685077248499176
502,FPGA硬件编程测试工程师,15-30K,3-5年，本科,北京,交通补助，五险一金，年终奖，带薪年假，全勤奖,融通航维,单片机开发，Verilog，VHDL，嵌入式技术，嵌入式硬件开发,12,22.5,本科,3-5年,5,5,仪器仪表/工业自动化,未融资,20-99人,0.3452898240520074
503,化学测试工程师,5-8K·13薪,1-3年，大专,珠海,员工旅游，免费班车，定期体检，交通补助，通讯补贴，带薪年假，加班补助，年终奖，补充医疗保险，餐补，五险一金,Intertek天祥集团,六险一金，周末双休，八小时工作制，加班费，带薪年假,13,6.5,大专,1-3年,11,5,企业服务,已上市,1000-9999人,0.6362659725894092
504,初级渗透测试工程师,10-15K,1-3年，本科,北京,五险一金，年终奖，带薪年假,航天中诺科技,安全测试，Java，PHP，SQL，Linux，外网渗透，信息安全,12,12.5,本科,1-3年,3,7,信息安全,未知,0-20人,0.2976053051609947
505,系统集成测试工程师,18-35K·15薪,5-10年，本科,广州,节日福利，带薪年假，定期体检，年终奖，补充医疗保险，股票期权，餐补，五险一金，包吃,小鹏汽车,电控，汽车相关专业，CANoe/CANalyser,15,26.5,本科,5-10年,9,3,汽车生产,已上市,10000人以上,0.7094231399824178
506,光电模组测试工程师,12-20K·14薪,1-3年，本科,深圳,带薪年假，免费午餐，包住，加班补助，年终奖，全勤奖，五险一金，包吃，住房补贴，培训完善,杰普特光电,影像测试，updown 测试，图像测试,14,16.0,本科,1-3年,10,3,智能硬件,已上市,1000-9999人,0.6927423149358283
507,高级软件开发测试工程师,16-22K·13薪,5-10年，本科,深圳,团建聚餐，定期体检，节日福利，意外险，免费班车，五险一金，年终奖，员工旅游，带薪年假，补充医疗保险，法定节假日三薪,奥兰若科技,C#，上位机，开发，测试，自动化,13,19.0,本科,5-10年,11,5,电子/半导体/集成电路,已上市,未知,0.46537601293277325
508,食品理化测试工程师,6-8K,1-3年，本科,广州,五险一金，员工旅游，年终奖，定期体检，带薪年假，免费班车，节日福利，加班补助，餐补，补充医疗保险,SGS,食品检测，理化实验,12,7.0,本科,1-3年,10,2,其他行业,已上市,10000人以上,0.610383327341826
509,助理测试工程师（硬件）,6-8K,1年以内，大专,深圳,节日福利，补充医疗保险，带薪年假，全勤奖，年终奖，交通补助，员工旅游，定期体检，零食下午茶，五险一金,屹联智能,万用表，整机测试，功能性测试，示波器，电脑硬件测试,12,7.0,大专,1年以内,10,5,智能硬件,未融资,20-99人,0.3561437951876641
510,整车控制标定测试工程师,20-21K·16薪,3-5年，本科,广州,补充医疗保险，法定节假日三薪，五险一金，员工旅游，通讯补贴，免费班车，交通补助，住房补贴，绩效奖金，全勤奖，定期体检，免费工装，带薪年假，节日福利，年终奖，企业年金，餐补，生日福利,广州汽车集团股份...,inca，动力性，三高标定,16,20.5,本科,3-5年,18,3,汽车生产,不需要融资,1000-9999人,0.5412278288529442
511,系统性能测试工程师,30-60K,3-5年，本科,东莞,通讯补贴，股票期权，住房补贴，五险一金，零食下午茶，节日福利，提供住宿，餐补，餐补，全勤奖，免费班车，交通补助，员工旅游，带薪年假，定期体检,vivo,功能测试，性能测试，Java，Python，C++，计算机相关专业,12,45.0,本科,3-5年,15,6,移动互联网,不需要融资,10000人以上,0.668467828073267
512,BMS软件测试工程师,15-20K·13薪,1-3年，本科,宁波,带薪年假，年终奖，通讯补贴，定期体检，餐补，五险一金，节日福利,维科集团,白盒测试,13,17.5,本科,1-3年,7,1,新能源,已上市,1000-9999人,0.5444533487755487
513,嵌入式软件开发与测试工程师,8-13K,1-3年，本科,合肥,五险一金，年终奖，餐补,安徽科力德能源环...,嵌入式技术，驱动开发，嵌入式软件开发，UCOS，软件测试,12,10.5,本科,1-3年,3,5,电力/热力/燃气/水利,不需要融资,0-20人,0.14832962781019987
514,高级硬件测试工程师,15-24K,5-10年，大专,深圳,加班补助，定期体检，年终奖，五险一金，夜班补助，零食下午茶，带薪年假，股票期权，绩效奖金，交通补助，员工旅游，餐补，节日福利，节假日福利,有品科技,智能硬件类，硬件测试经验,12,19.5,大专,5-10年,14,2,互联网,C轮,100-499人,0.5084919437872428
515,EDA工具测试工程师（长沙）,10-15K·13薪,1-3年，本科,长沙,五险一金，节日福利，年终奖，补充医疗保险，带薪年假，零食下午茶，定期体检，股票期权,泛联新安,FPGA，verilog，vhdl,13,12.5,本科,1-3年,8,3,计算机软件,B轮,100-499人,0.38119615816493585
516,智能驾驶测试工程师,15-20K,5-10年，本科,上海,员工旅游，节日福利，通讯补贴，免费班车，团建聚餐，餐补，五险一金，带薪年假，定期体检，加班补助，交通补助，法定节假日三薪,诚迈科技,NOA，功能开发测试，linux,12,17.5,本科,5-10年,12,3,移动互联网,已上市,1000-9999人,0.6664249502647324
517,硬件产品测试工程师,4-8K·14薪,在校/应届，大专,西安,,星磐电子,机器人/无人机类，计算机相关经验，硬件测试经验,14,6.0,大专,在校/应届,0,3,电子/半导体/集成电路,不需要融资,0-20人,0.13297617863886604
518,中高级测试工程师-性能(J10204),11-18K·15薪,3-5年，本科,厦门,五险一金，员工旅游，带薪年假，节日福利，年终奖，零食下午茶,星纵信息,性能测试经验,15,14.5,本科,3-5年,6,1,通信/网络设备,未融资,500-999人,0.26098536896129465
519,高级硬件测试工程师,12-24K,5-10年，本科,深圳,带薪年假，零食下午茶，五险一金，通讯补贴，节日福利，团建聚餐，员工旅游，补充医疗保险，股票期权，定期体检,深圳纳欣科技有限公司,功耗测试，示波器，万用表，逻辑分析仪，信号发生器,12,18.0,本科,5-10年,10,5,互联网,B轮,100-499人,0.4743793855304235
520,高级硬件测试工程师,14-28K·16薪,1-3年，本科,苏州,五险一金，生日福利，零食下午茶，节日福利，法定节假日三薪，高温补贴，定期体检，节假日加班费，有无线网，股票期权，宿舍有空调，团建聚餐，免费班车，年终奖，带薪年假，住房补贴，通讯补贴，交通补助，员工旅游,汇川技术,信号测试，电源测试，整机测试，主板测试,16,21.0,本科,1-3年,19,4,仪器仪表/工业自动化,已上市,未知,0.5570650727036717
521,电子装配测试工程师,8-10K·13薪,经验不限，大专,上海,年终奖，餐补，带薪年假，住房补贴，五险一金，交通补助,北京华宇兴泰,单片机开发，万用表，示波器,13,9.0,大专,经验不限,6,3,计算机服务,不需要融资,100-499人,0.4062214298244814
522,测试工程师（初级） (MJ000034),4-7K·14薪,1-3年，大专,杭州,五险一金，带薪年假，定期体检，年终奖，餐补，全勤奖，员工旅游，节日福利，股票期权，运动俱乐部,旗捷,万用表，示波器，功能性测试，可靠性测试,14,5.5,大专,1-3年,10,4,电子/半导体/集成电路,已上市,100-499人,0.563200861395341
523,软件调试工程师,8-10K·14薪,1-3年，大专,杭州,,杭州博海亿嘉,实施,14,9.0,大专,1-3年,0,1,计算机服务,天使轮,0-20人,0.138881000276588
524,软件测试专员,4-5K,经验不限，学历不限,上海,,上海辽哲,web测试，server端测试，android测试,12,4.5,学历不限,经验不限,0,3,互联网,未知,20-99人,0.34675026320276126
525,调试工程师,4-5K,1-3年，大专,成都,交通补助，全勤奖，年终奖，带薪年假，节日福利，五险一金,安能捷电气,电气设备调试,12,4.5,大专,1-3年,6,1,电力/热力/燃气/水利,未融资,20-99人,0.13366505804771275
526,APP测试工程师,3-6K,1-3年，大专,漳州,,鲸奇生物科技有限公司,软件测试，网络协议，网络交换技术，流媒体技术,12,4.5,大专,1-3年,0,4,日化,未知,0-20人,0.07394789831330639
527,EMC测试工程师,4-5K,经验不限，大专,深圳,通讯补贴，五险一金，带薪年假，员工旅游，年终奖，餐补，节日福利，全勤奖,亿通检测,测试工程师,12,4.5,大专,经验不限,8,1,电子/半导体/集成电路,未融资,20-99人,0.2796033219186278
528,手机测试工程师,3-8K,1-3年，本科,武汉,加班补助，五险一金，住房补贴，交通补助,建优欣网,测试工程师，手机测试，通信测试,12,5.5,本科,1-3年,4,3,通信/网络设备,未融资,20-99人,0.1499299154025491
529,开发测试工程师,13-21K·14薪,3-5年，本科,武汉,通讯补贴，年假递增，餐补，员工旅游，补充医疗保险，股票期权，加班补助，带薪年假，定期体检，五险一金，节日福利，年终奖,绿盟科技,软件测试，Linux，功能测试，黑盒测试，大数据测试，Python,14,17.0,本科,3-5年,12,6,信息安全,已上市,1000-9999人,0.7133147411557825
530,高级测试工程师（管理经验优先）,14-18K·13薪,5-10年，本科,武汉,有无线网，定期体检，交通补助，补充医疗保险，年终奖，员工旅游，餐补，五险一金，带薪年假，零食下午茶，通讯补贴，生日福利，节日福利，团建聚餐，工龄奖,51CTO,自动化测试，性能测试，功能测试，接口测试，web端测试,13,16.0,本科,5-10年,15,5,互联网,C轮,500-999人,0.5597151365212429
531,自动化测试工程师,7-12K,1-3年，本科,无锡,零食下午茶，定期体检，餐补，年终奖，五险一金，带薪年假，交通补助，节日福利，员工旅游,鲲鲸云,测试，测试工程师，自动化测试，测试开发,12,9.5,本科,1-3年,9,4,互联网,A轮,20-99人,0.2923280250306011
532,高级测试工程师,12-24K·14薪,1-3年，本科,武汉,,北京灵汐科技有限公司,Python，Linux，自动化测试，性能测试，系统测试,14,18.0,本科,1-3年,0,5,电子/半导体/集成电路,未知,100-499人,0.2908583580539551
533,高级测试工程师,15-22K·16薪,3-5年，本科,杭州,餐补，住房补贴，定期体检，年终奖，五险一金，零食下午茶，加班补助，带薪年假，节日福利，免费班车，补充医疗保险,网易杭州,测试工程师，自动化测试,16,18.5,本科,3-5年,11,2,互联网,已上市,10000人以上,0.7149462158388475
534,高级测试工程师,15-30K·13薪,3-5年，本科,北京,带薪年假，餐补，节日福利，交通补助,可之科技,测试，测试工程师，自动化测试,13,22.5,本科,3-5年,4,3,数据服务,A轮,100-499人,0.42066840547856515
535,产品测试工程师,20-30K·13薪,3-5年，本科,上海,定期体检，员工旅游，年终奖，节日福利，带薪年假，五险一金，加班餐，零食下午茶，股票期权,物骐微电子,测试，测试工程师，自动化测试，蓝牙，音频,13,25.0,本科,3-5年,9,5,电子/半导体/集成电路,C轮,100-499人,0.5892909106655163
536,高级测试工程师（上海）,30-60K·15薪,3-5年，本科,上海,体育活动，股票期权，定期体检，住房补贴，五险一金，节日福利，员工旅游，补充医疗保险，交通补助，通讯补贴，带薪年假，餐补，零食下午茶，年终奖,NewsBreak,android测试，ios测试，server端测试，web测试，测试工程师,15,45.0,本科,3-5年,14,5,移动互联网,C轮,100-499人,0.7626804021456913
537,研发测试工程师,15-25K,经验不限，学历不限,苏州,交通补助，定期体检，年终奖，零食下午茶，免费班车，五险一金，节日福利，带薪年假,上海高仙,测试，测试工程师，性能测试,12,20.0,学历不限,经验不限,8,3,智能硬件,C轮,1000-9999人,0.7139280708243038
538,产品测试工程师,15-25K·15薪,3-5年，本科,成都,节日福利，高业绩回报，定期体检，年终奖，高成长性职位，补充医疗保险，五险一金，股票期权，带薪年假,四川华鲲,Java，Python，Shell，Linux，自动化测试，性能测试,15,20.0,本科,3-5年,9,6,智能硬件,不需要融资,500-999人,0.4429114876316292
539,高级测试工程师（嵌入式）,15-20K,3-5年，本科,上海,年终奖，餐补，五险一金，加班补助，带薪年假，员工旅游，股票期权，定期体检，零食下午茶，节日福利,魔视智能,软件测试，功能测试，测试开发,12,17.5,本科,3-5年,10,3,智能硬件,C轮,100-499人,0.5035663079740011
540,运维工程师 (MJ000184),11-20K,3-5年，大专,厦门,五险一金，补充医疗保险，公租房，员工旅游，带薪年假，定期体检，姨妈假，人才保障房，股票期权，节日福利，年终奖，零食下午茶,蝉大师,网络运维，系统运维，DolphinScheduler，运维开发/DevOps,12,15.5,大专,3-5年,12,4,移动互联网,A轮,100-499人,0.40261132668748933
541,运维工程师 双休 株洲芦淞,7-8K,1-3年，大专,长沙,年终奖，生日福利，全勤奖，绩效奖金，高温补贴，节日福利，通讯补贴，加班补助，五险一金，餐补，住房补贴，定期体检，员工旅游，底薪加提成，工龄奖，交通补助，团建聚餐，带薪年假,驰信电子,Windows，安全运维，Linux,12,7.5,大专,1-3年,18,3,电子/半导体/集成电路,不需要融资,未知,0.21251964305585128
542,运维工程师 8-10k,8-10K,1-3年，大专,东莞,五险一金，年终奖，员工旅游,谷睿科技,运维工程师，网络运维，自动化运维，Shell，Python，Java,12,9.0,大专,1-3年,3,6,计算机软件,未融资,0-20人,0.1754837144910669
543,运维工程师,3-5K,经验不限，大专,晋城,,智远时空,系统运维，通信相关专业，Linux，机房运维，Oracle,12,4.0,大专,经验不限,0,5,运营商/增值服务,不需要融资,20-99人,0.2118079654889181
544,运维工程师,4-7K,1-3年，中专/中技,广州,住房补贴，年终奖，全勤奖，带薪年假，加班补助，员工旅游，节日福利，餐补，五险一金，通讯补贴，交通补助,广州百实,运维工程师，网络运维，机房运维，桌面运维，IT技术支持,12,5.5,中专/中技,1-3年,11,5,通信/网络设备,未融资,20-99人,0.33743699356445506
545,运维工程师,4-6K,1-3年，本科,吉林,,吉林臻芯,桌面运维，网络运维，IDC机房运维，计算机相关专业,12,5.0,本科,1-3年,0,4,信息安全,未知,0-20人,0.05405013966339158
546,运维工程师,5-9K,3-5年，大专,内江,年终奖，节日福利，定期体检，节假日加班费，法定节假日三薪，夜班补助，有无线网，宿舍有空调，五险一金，包吃，带薪年假，住房补贴，包住，免费工装，高温补贴，餐补,内江融通高科先进材料,系统运维，大数据运维经验,12,7.0,大专,3-5年,16,2,化工,D轮及以上,1000-9999人,0.542004545321085
547,运维工程师,20-30K,1-3年，本科,北京,,北京永乐邦网络科...,运维开发/DevOps，Golang，MySQL/Oracle，Kubernetes,12,25.0,本科,1-3年,0,4,计算机软件,不需要融资,20-99人,0.30946550409219536
548,运维工程师,5-6K,1-3年，大专,北京,,宏鑫双泰,故障排查，系统运维，现场运维,12,5.5,大专,1-3年,0,3,通信/网络设备,未知,0-20人,0.16138061105478738
549,运维工程师,6-7K,1-3年，大专,珠海,,珠海市睿信信息科技,水质运维,12,6.5,大专,1-3年,0,1,环保,未知,0-20人,0.018366136938468905
550,运维工程师,5-9K,1-3年，大专,嘉兴,员工旅游，五险一金，带薪年假，节日福利，零食下午茶，年终奖，股票期权,浙江应杰科技有限...,实施交付运维，MySQL/Oracle，计算机相关专业,12,7.0,大专,1-3年,7,3,计算机服务,未融资,20-99人,0.18351952240326147
551,运维工程师,6-10K,1年以内，大专,无锡,节日福利，包吃，年终奖，补充医疗保险，五险一金,西维斯安防,运维，网络安全，安全,12,8.0,大专,1年以内,5,3,智能硬件,未融资,20-99人,0.19515141900029087
552,运维工程师,4-6K,1-3年，大专,武汉,全勤奖，年终奖，节日福利，生日福利，交通补助，带薪年假，零食下午茶，五险，餐补,鑫荣茶汇,系统运维，应用运维，桌面运维，机房运维，自动化运维,12,5.0,大专,1-3年,9,5,餐饮,未融资,20-99人,0.26311055700292063
553,运维工程师,6-7K,3-5年，大专,乌海,,思达信息技术,网络运维，系统运维，IDC机房运维,12,6.5,大专,3-5年,0,3,计算机服务,未知,0-20人,0.035154809116006346
554,运维工程师,4-6K,经验不限，大专,武汉,五险一金，全勤奖，节日福利，年终奖，带薪年假，加班补助,恒子工程,系统运维，自动化运维，桌面运维，Windows，SQL,12,5.0,大专,经验不限,6,5,电子/半导体/集成电路,不需要融资,未知,0.20971917061090423
555,运维工程师,4-6K·13薪,在校/应届，中专/中技,南京,通讯补贴，夜班补助，高温补贴，定期体检，宿舍有空调，员工旅游，餐补，节日福利，住房补贴，意外险，带薪年假，有无线网，全勤奖，五险一金，企业年金，年终奖，包住，加班补助,德众数码,故障排查，打印机维护，喷绘机，写真机，UV机，雕刻机,13,5.0,中专/中技,在校/应届,18,6,广告/公关/会展,未融资,20-99人,0.4747818569099761
556,运维工程师,3-4K,经验不限，中专/中技,南京,高温补贴，节日福利，工龄奖，免费工装，夜班补助，年终奖，全勤奖，通讯补贴，生日福利，零食下午茶，带薪年假，团建聚餐，加班补助，绩效奖金，五险一金,电喵科技,运维,12,3.5,中专/中技,经验不限,15,1,智能硬件,天使轮,20-99人,0.37040401839742276
557,运维工程师,4-7K,经验不限，大专,青岛,五险一金，定期体检，发展空间，餐补，通讯补贴，年终奖，节日福利,盈星环境,环保行业，设备运维,12,5.5,大专,经验不限,7,2,环保,未融资,20-99人,0.22408440351851572
558,运维工程师,5-6K,经验不限，大专,北京,五险一金，绩效奖金，员工旅游，节日福利,鸿狐教育,运维工程师，机房运维,12,5.5,大专,经验不限,4,2,在线教育,不需要融资,0-20人,0.24932939119295308
559,运维工程师,2-5K,1-3年，中专/中技,大理白族自治州,,云硕尚品科技有限公司,网络运维，系统运维，计算机相关专业，通信相关专业,12,3.5,中专/中技,1-3年,0,4,信息安全,未知,0-20人,0.10788636154473806
560,运维工程师,15-25K,经验不限，学历不限,南京,加班补助，节日福利，定期体检，五险一金，股票期权，年终奖，补充医疗保险，餐补，员工旅游，零食下午茶,华为,系统运维,12,20.0,学历不限,经验不限,10,1,计算机软件,不需要融资,10000人以上,0.5999556866970526
561,运维工程师,3-6K,经验不限，大专,长沙,年终奖,和业信息科技有限公司,网络运维，桌面运维,12,4.5,大专,经验不限,1,2,智能硬件,不需要融资,20-99人,0.17416472754844056
562,运维工程师,12-23K,3-5年，本科,北京,员工旅游，五险一金，交通补助，餐补，通讯补贴，带薪年假，专业培训资源，5G内部套餐，定期体检，加班补助，节日福利，交通补助，各类礼品卡，年终奖，补充医疗保险，节日、生日卡，培训资源丰富,中国电信集成,网络运维，系统运维，实施交付运维，计算机相关专业,12,17.5,本科,3-5年,17,4,通信/网络设备,不需要融资,10000人以上,0.6062158289782847
563,运维工程师,4-8K,1-3年，本科,合肥,,科尼维尔,管理系统，运维工程师，系统运维,12,6.0,本科,1-3年,0,3,智能硬件,未知,0-20人,0.05021042650567154
564,运维工程师,9-14K·15薪,1-3年，本科,广州,节日福利，绩效奖金，保底工资，年终奖，零食下午茶，定期体检，免费班车，工龄奖，通讯补贴，股票期权，餐补，员工旅游，带薪年假，补充医疗保险，生日福利，五险一金，团建聚餐,中海达,系统运维，自动化运维，Nginx，Docker，Centos，容器技术,15,11.5,本科,1-3年,17,6,智能硬件,已上市,1000-9999人,0.7819636221338533
565,运维工程师,5-6K,3-5年，高中,邯郸,,点行科技,全职兼职均可,12,5.5,高中,3-5年,0,1,环保,未知,0-20人,0.005548884160930315
566,运维工程师,4-8K,1年以内，大专,张掖,年终奖，补充医疗保险，节日福利，交通补助,志成,IT服务，IT技术支持，运维工程师，安全运维，运维,12,6.0,大专,1年以内,4,5,计算机软件,不需要融资,0-20人,0.1657632855402682
567,运维工程师,6-7K,3-5年，本科,哈尔滨,全勤奖，加班补助，五险一金，节日福利，定期体检,俄运通,系统运维,12,6.5,本科,3-5年,5,1,物流/仓储,未融资,100-499人,0.11676232105974915
568,运维工程师,5-8K,1-3年，大专,杭州,年终奖，股票期权，带薪年假，员工旅游，餐补，节日福利,古语科技,安全运维，虚拟化运维,12,6.5,大专,1-3年,6,2,互联网,A轮,20-99人,0.26806567744702076
569,运维工程师,5-7K,3-5年，学历不限,南宁,,桂物智慧,不限，系统运维，Python/Shell，Nginx，MySQL/Oracle,12,6.0,学历不限,3-5年,0,5,互联网,未知,20-99人,0.2130845636484356
570,运维工程师,4-7K·13薪,3-5年，大专,三明,补充医疗保险，零食下午茶，带薪年假，电脑补贴，交通补助，节日福利，员工旅游，通讯补贴，年终奖，定期体检，五险一金，加班补助,易联众,实施交付运维，Linux，Windows，Oracle，SQL,13,5.5,大专,3-5年,12,5,计算机软件,已上市,1000-9999人,0.6118624442043455
571,运维工程师,4-9K,经验不限，大专,乌鲁木齐,全勤奖，员工旅游，带薪年假，五险一金，定期体检，通讯补贴，加班补助，餐补，补充医疗保险，交通补助，年终奖,中消智控,系统运维，应用运维,12,6.5,大专,经验不限,11,2,建材,A轮,0-20人,0.2908702259262923
572,运维工程师,8-13K,1-3年，大专,广州,,云返游戏,Linux，MySQL，Web安全,12,10.5,大专,1-3年,0,3,游戏,天使轮,20-99人,0.20310780345915172
573,运维工程师,4-6K,1-3年，大专,兰州,定期体检，五险一金，加班补助，带薪年假，年终奖，餐补，节日福利,胜利科技,系统运维，运维开发/DevOps，实施交付运维，Java,12,5.0,大专,1-3年,7,4,计算机软件,未融资,100-499人,0.24275806885783935
574,运维工程师,3-8K,1-3年，本科,南昌,法定节假日三薪，带薪年假，底薪加提成，保底工资，绩效奖金，五险一金，年终奖,江西创智,硬件，UPS,12,5.5,本科,1-3年,7,2,通信/网络设备,未融资,0-20人,0.08578510169977047
575,运维工程师,6-10K·13薪,3-5年，大专,南京,,南京国睿泽达科技,实施交付运维，通信相关专业，电子/电气/自动化相关专业,13,8.0,大专,3-5年,0,3,通信/网络设备,未知,0-20人,0.08340641985275449
576,运维工程师,5-10K,经验不限，学历不限,保定,工龄奖，年终奖，五险一金，免费工装，绩效奖金，有无线网，生日福利，补充医疗保险，意外险，住房补贴，员工旅游,奥维网络科技,系统运维，数据库运维，会计电算化，SQL，Linux,12,7.5,学历不限,经验不限,11,5,其他专业服务,不需要融资,20-99人,0.4228661331141026
577,运维工程师,4-5K,3-5年，本科,焦作,加班补助，年终奖，餐补，交通补助,飞达公司,系统运维，运维工程师，IT技术支持，网络运维,12,4.5,本科,3-5年,4,4,互联网,不需要融资,1000-9999人,0.2579492662027915
578,运维工程师,22-35K,3-5年，本科,北京,员工旅游，节日福利，五险一金，带薪年假，生日会,太一互联,容器技术，分布式技术，自动化运维，ELK，集群运维,12,28.5,本科,3-5年,5,5,互联网,未融资,20-99人,0.3753833927261539
579,运维工程师,5-7K,1-3年，本科,哈尔滨,,联通黑龙江产业,系统运维，应用运维，大数据运维，Linux，Java，容器技术,12,6.0,本科,1-3年,0,6,计算机服务,未知,100-499人,0.2039503483751007
580,运维工程师,5-10K,1-3年，大专,无锡,节日福利，五险一金，餐补，带薪年假，年终奖，全勤奖，加班补助,中卫信,Linux，系统运维，Windows，SQL，Java，负载均衡技术,12,7.5,大专,1-3年,7,6,计算机软件,未融资,100-499人,0.305221469055078
581,运维工程师,22-40K·16薪,3-5年，本科,上海,有无线网，节日福利，团建聚餐，定期体检，年终奖，法定节假日三薪，交通补助，带薪年假，生日福利,上海捷银电子商务...,应用运维，Python，Linux,16,31.0,本科,3-5年,9,3,电子商务,不需要融资,1000-9999人,0.5614337327369953
582,运维工程师,8-10K,1-3年，本科,上海,定期体检，五险一金，年终奖，节日福利，带薪年假，电脑补贴，通讯补贴，股票期权，交通补助,卫宁健康,SQLServer，系统运维，运维,12,9.0,本科,1-3年,9,3,医疗健康,已上市,1000-9999人,0.6419872246425388
583,运维工程师,10-15K,1-3年，本科,上海,五险一金，加班补助，年终奖，带薪年假，节日福利,上海时光基业软件...,安全运维，Linux，网络协议，集群运维，Unix，虚拟机技术,12,12.5,本科,1-3年,5,6,计算机软件,未融资,20-99人,0.33126787120224993
584,运维工程师,5-10K,1-3年，大专,株洲,交通补助，定期体检，带薪年假，五险一金，通讯补贴，年终奖,金润轩,实施交付运维，系统运维,12,7.5,大专,1-3年,6,2,计算机服务,未融资,20-99人,0.14926965705796677
585,运维工程师,11-15K·13薪,1-3年，本科,深圳,年终奖，定期体检，五险一金，员工旅游，节日福利，餐补，带薪年假,北京亿邮,Nginx，Shell，Linux，系统运维，服务器配置，MySQL,13,13.0,本科,1-3年,7,6,计算机软件,不需要融资,100-499人,0.3950578083814812
586,运维工程师,7-12K,1-3年，本科,神农架,五险一金，餐补，包吃，住房补贴，节日福利，免费班车，带薪年假,神玥软件,SQL，Oracle，运维工程师，IT技术支持,12,9.5,本科,1-3年,7,4,计算机软件,已上市,1000-9999人,0.5511772756645206
587,运维工程师,3-6K,1-3年，中专/中技,汕头,,中芯物联技术,系统运维，安全运维，SQL，Windows，网络协议,12,4.5,中专/中技,1-3年,0,5,通信/网络设备,未知,0-20人,0.13591181159246862
588,运维工程师,5-10K,3-5年，大专,营口,年终奖，五险一金，免费班车，股票期权，定期体检，带薪年假，通讯补贴，节日福利,万达信息,实施交付运维，MySQL/Oracle，计算机相关专业，运维经验,12,7.5,大专,3-5年,8,4,计算机软件,已上市,1000-9999人,0.5475803234130914
